original_ibes,new_ibes,new_compustat,original_compustat,new_ibes2,new_compustat2
RED ROBIN GOURME,RED ROBIN GOURME,RED ROBIN GOURMET BURGERS,RED ROBIN GOURMET BURGERS,RED ROBIN GOURME,RED ROBIN GOURMET BURGERS
REDWOOD TRUST IN,REDWOOD TRUST IN,REDWOOD TRUST,REDWOOD TRUST INC,REDWOOD TRUST IN,REDWOOD TRUST
REGAL-BELOIT,REGAL-BELOIT,REGAL BELOIT,REGAL BELOIT CORP,REGALBELOIT,REGAL BELOIT
REGENCY CENTERS,REGENCY CENTERS,REGENCY CENTERS,REGENCY CENTERS CORP,REGENCY CENTERS,REGENCY CENTERS
REGENERON PHARMA,REGENERON PHARMA,REGENERON PHARMACEUTICALS,REGENERON PHARMACEUTICALS,REGENERON PHARMA,REGENERON PHARMACEUTICALS
REGENERON PHARMS,REGENERON PHARMS,REGENERON PHARMACEUTICALS,REGENERON PHARMACEUTICALS,REGENERON PHARMS,REGENERON PHARMACEUTICALS
REGENXBIO,REGENXBIO,REGENXBIO,REGENXBIO INC,REGENXBIO,REGENXBIO
REGIONS FINCL,REGIONS FINCL,REGIONS FINANCIAL,REGIONS FINANCIAL CORP,REGIONS FINCL,REGIONS FINANCIAL
REGIONS FINL COR,REGIONS FINL COR,REGIONS FINANCIAL,REGIONS FINANCIAL CORP,REGIONS FINL COR,REGIONS FINANCIAL
REGIS CORP,REGIS,REGIS/MN,REGIS CORP/MN,REGIS,REGIS CORPMN
REINSURANCE GRP,REINSURANCE GRP,REINSURANCE GROUP AMER,REINSURANCE GROUP AMER INC,REINSURANCE GROUP,REINSURANCE GROUP AMER
RELIANCE DE,RELIANCE DE,RELIANCE STEEL & ALUMINUM CO,RELIANCE STEEL & ALUMINUM CO,RELIANCE,RELIANCE STEEL  ALUMINUM
RELIANCE STEEL &,RELIANCE STEEL &,RELIANCE STEEL & ALUMINUM CO,RELIANCE STEEL & ALUMINUM CO,RELIANCE STEEL ,RELIANCE STEEL  ALUMINUM
RENAISSANCERE HL,RENAISSANCERE HL,RENAISSANCERE,RENAISSANCERE HOLDINGS LTD,RENAISSANCERE HL,RENAISSANCERE HOLDINGS
RENEWABLE ENERGY,RENEWABLE ENERGY,RENEWABLE ENERGY GROUP,RENEWABLE ENERGY GROUP INC,RENEWABLE ENERGY,RENEWABLE ENERGY GROUP
RENT-A-CENTER,RENT-A-CENTER,RENT-A-CENTER,RENT-A-CENTER INC,RENTACENTER,RENTACENTER
REPLIGEN CORP,REPLIGEN,REPLIGEN,REPLIGEN CORP,REPLIGEN,REPLIGEN
REPLIGEN CP,REPLIGEN CP,REPLIGEN,REPLIGEN CORP,REPLIGEN,REPLIGEN
REPUBLIC AIRWAYS,REPUBLIC AIRWAYS,REPUBLIC AIRWAYS HLDGS,REPUBLIC AIRWAYS HLDGS INC,REPUBLIC AIRWAYS,REPUBLIC AIRWAYS HLDGS
REPUBLIC SERVICE,REPUBLIC SERVICE,REPUBLIC SERVICES,REPUBLIC SERVICES INC,REPUBLIC SERVICES,REPUBLIC SERVICES
REPUBLIC SERVS,REPUBLIC SERVS,REPUBLIC SERVICES,REPUBLIC SERVICES INC,REPUBLIC SERVICES,REPUBLIC SERVICES
RESMED,RESMED,RESMED,RESMED INC,RESMED,RESMED
RESMED INC,RESMED,RESMED,RESMED INC,RESMED,RESMED
RESOLUTE FOREST,RESOLUTE FOREST,RESOLUTE FOREST PRODUCTS,RESOLUTE FOREST PRODUCTS INC,RESOLUTE FOREST,RESOLUTE FOREST PRODUCTS
RESOURCES CONNEC,RESOURCES CONNEC,RESOURCES CONNECTION,RESOURCES CONNECTION INC,RESOURCES CONNEC,RESOURCES CONNECTION
RETAIL OPP INVTS,RETAIL OPP INVTS,RETAIL OPPORTUNITY INVTS CP,RETAIL OPPORTUNITY INVTS CP,RETAIL OPP INVTS,RETAIL OPPORTUNITY INVTS
RETAIL OPPORTUNI,RETAIL OPPORTUNI,RETAIL OPPORTUNITY INVTS CP,RETAIL OPPORTUNITY INVTS CP,RETAIL OPPORTUNI,RETAIL OPPORTUNITY INVTS
REX AMERICAN,REX AMERICAN,REX AMERICAN RESOURCES,REX AMERICAN RESOURCES CORP,REX AMERICAN,REX AMERICAN RESOURCES
REX AMERICAN RES,REX AMERICAN RES,REX AMERICAN RESOURCES,REX AMERICAN RESOURCES CORP,REX AMERICAN RES,REX AMERICAN RESOURCES
REX ENERGY CORP,REX ENERGY,REX ENERGY,REX ENERGY CORP,REX ENERGY,REX ENERGY
REYNOLDS AMERICA,REYNOLDS AMERICA,REYNOLDS AMERICAN,REYNOLDS AMERICAN INC,REYNOLDS AMERICA,REYNOLDS AMERICAN
REYNOLDS AMRICN,REYNOLDS AMRICN,REYNOLDS AMERICAN,REYNOLDS AMERICAN INC,REYNOLDS AMRICN,REYNOLDS AMERICAN
RFP,RFP,RESOLUTE FOREST PRODUCTS,RESOLUTE FOREST PRODUCTS INC,RFP,RESOLUTE FOREST PRODUCTS
RGA,RGA,REINSURANCE GROUP AMER,REINSURANCE GROUP AMER INC,RGA,REINSURANCE GROUP AMER
RGP,RGP,RESOURCES CONNECTION,RESOURCES CONNECTION INC,RGP,RESOURCES CONNECTION
RH,RH,RH,RH,RH,RH
RING ENERGY INC,RING ENERGY,RING ENERGY,RING ENERGY INC,RING ENERGY,RING ENERGY
RIVERBED TECHNOL,RIVERBED TECHNOL,RIVERBED TECHNOLOGY,RIVERBED TECHNOLOGY INC,RIVERBED TECHNOLOGY,RIVERBED TECHNOLOGY
RLI CP,RLI CP,RLI,RLI CORP,RLI,RLI
ROBERT HALF,ROBERT HALF,ROBERT HALF INTL,ROBERT HALF INTL INC,ROBERT HALF,ROBERT HALF INTERNATIONAL
ROBERT HALF INTL,ROBERT HALF INTL,ROBERT HALF INTL,ROBERT HALF INTL INC,ROBERT HALF INTERNATIONAL,ROBERT HALF INTERNATIONAL
ROCKWELL AUTO,ROCKWELL AUTO,ROCKWELL AUTOMATION,ROCKWELL AUTOMATION,ROCKWELL AUTO,ROCKWELL AUTOMATION
ROCKWELL AUTOMAT,ROCKWELL AUTOMAT,ROCKWELL AUTOMATION,ROCKWELL AUTOMATION,ROCKWELL AUTOMAT,ROCKWELL AUTOMATION
ROCKWELL COLLINS,ROCKWELL COLLINS,ROCKWELL COLLINS,ROCKWELL COLLINS,ROCKWELL COLLINS,ROCKWELL COLLINS
ROFIN-SINAR TECH,ROFIN-SINAR TECH,ROFIN SINAR TECHNOLOGIES,ROFIN SINAR TECHNOLOGIES INC,ROFINSINAR TECHNOLOGY,ROFIN SINAR TECHNOLOGY
ROGERS CP,ROGERS CP,ROGERS,ROGERS CORP,ROGERS,ROGERS
ROLLINS INC,ROLLINS,ROLLINS,ROLLINS INC,ROLLINS,ROLLINS
ROPER INDS INC,ROPER INDS,ROPER TECHNOLOGIES,ROPER TECHNOLOGIES INC,ROPER INDS,ROPER TECHNOLOGY
ROPER INDUSTRIES,ROPER INDUSTRIES,ROPER TECHNOLOGIES,ROPER TECHNOLOGIES INC,ROPER INDUSTRIES,ROPER TECHNOLOGY
ROPER TECH,ROPER TECH,ROPER TECHNOLOGIES,ROPER TECHNOLOGIES INC,ROPER TECHNOLOGY,ROPER TECHNOLOGY
ROSETTA RESOURCE,ROSETTA RESOURCE,ROSETTA RESOURCES,ROSETTA RESOURCES INC,ROSETTA RESOURCES,ROSETTA RESOURCES
ROSS STORES,ROSS STORES,ROSS STORES,ROSS STORES INC,ROSS STORES,ROSS STORES
ROSS STORES INC,ROSS STORES,ROSS STORES,ROSS STORES INC,ROSS STORES,ROSS STORES
ROUSE PROPERTIES,ROUSE PROPERTIES,ROUSE PROPERTIES,ROUSE PROPERTIES INC,ROUSE PROPERTIES,ROUSE PROPERTIES
ROWAN COS,ROWAN,ROWAN COMPANIES,ROWAN COMPANIES PLC,ROWAN COS,ROWAN CO
ROYAL CARIB CRUS,ROYAL CARIB CRUS,ROYAL CARIBBEAN CRUISES,ROYAL CARIBBEAN CRUISES LTD,ROYAL CARIB CRUS,ROYAL CARIBBEAN CRUISES
ROYAL CARIBBEAN,ROYAL CARIBBEAN,ROYAL CARIBBEAN CRUISES,ROYAL CARIBBEAN CRUISES LTD,ROYAL CARIBBEAN,ROYAL CARIBBEAN CRUISES
ROYAL GOLD INCOR,ROYAL GOLDOR,ROYAL GOLD,ROYAL GOLD INC,ROYAL GOLD INCOR,ROYAL GOLD
RPC INC,RPC,RPC,RPC INC,RPC,RPC
RPM INTL INC,RPM INTL,RPM INTERNATIONAL,RPM INTERNATIONAL INC,RPM INTERNATIONAL,RPM INTERNATIONAL
RR DONNELLEY,RR DONNELLEY,DONNELLEY (R R) & SONS CO,DONNELLEY (R R) & SONS CO,RR DONNELLEY,DONNELLEY R R  SONS
RTI INTERN METAL,RTI INTERN METAL,RTI INTL METALS,RTI INTL METALS INC,RTI INTERN METAL,RTI INTERNATIONAL METALS
RUBY TUESDAY,RUBY TUESDAY,RUBY TUESDAY,RUBY TUESDAY INC,RUBY TUESDAY,RUBY TUESDAY
RUBY TUESDAY INC,RUBY TUESDAY,RUBY TUESDAY,RUBY TUESDAY INC,RUBY TUESDAY,RUBY TUESDAY
RUCKUS WIRELESS,RUCKUS WIRELESS,RUCKUS WIRELESS,RUCKUS WIRELESS INC,RUCKUS WIRELESS,RUCKUS WIRELESS
RUTH'S HOSPITALI,RUTH'S HOSPITALI,RUTHS HOSPITALITY GROUP,RUTHS HOSPITALITY GROUP INC,RUTHS HOSPITALI,RUTHS HOSPITALITY GROUP
RYDER SYS,RYDER SYS,RYDER SYSTEM,RYDER SYSTEM INC,RYDER SYS,RYDER SYSTEMS
RYDER SYSTEM,RYDER SYSTEM,RYDER SYSTEM,RYDER SYSTEM INC,RYDER SYSTEMS,RYDER SYSTEMS
RYERSON HOLDING,RYERSON,RYERSON,RYERSON HOLDING CORP,RYERSON HOLDINGS,RYERSON HOLDINGS
RYLAND GROUP,RYLAND GROUP,RYLAND GROUP,RYLAND GROUP INC,RYLAND GROUP,RYLAND GROUP
S & T BANCORP IN,S & T IN,S & T,S & T BANCORP INC,S  T BANK IN,S  T BANK
S&P GLOBAL,S&P GLOBAL,S&P GLOBAL,S&P GLOBAL INC,SP GLOBAL,SP GLOBAL
SABRA HEALTHCARE,SABRA HEALTHCARE,SABRA HEALTH CARE REIT,SABRA HEALTH CARE REIT INC,SABRA HEALTHCARE,SABRA HEALTH CARE REIT
SABRA REIT,SABRA REIT,SABRA HEALTH CARE REIT,SABRA HEALTH CARE REIT INC,SABRA REIT,SABRA HEALTH CARE REIT
SABRE,SABRE,SABRE,SABRE CORP,SABRE,SABRE
SAFEGRD SCIENTFC,SAFEGRD SCIENTFC,SAFEGUARD SCIENTIFICS,SAFEGUARD SCIENTIFICS INC,SAFEGRD SCIENTFC,SAFEGUARD SCIENTIFICS
SAFEGUARD SCIENT,SAFEGUARD SCIENT,SAFEGUARD SCIENTIFICS,SAFEGUARD SCIENTIFICS INC,SAFEGUARD SCIENT,SAFEGUARD SCIENTIFICS
SAFETY INSURANCE,SAFETY INSURANCE,SAFETY INSURANCE GROUP,SAFETY INSURANCE GROUP INC,SAFETY INSURANCE,SAFETY INSURANCE GROUP
SAFEWAY INC,SAFEWAY,SAFEWAY,SAFEWAY INC,SAFEWAY,SAFEWAY
SAGENT PHARMACEU,SAGENT PHARMACEU,SAGENT PHARMACEUTICALS,SAGENT PHARMACEUTICALS INC,SAGENT PHARMACEU,SAGENT PHARMACEUTICALS
SAIA INC,SAIA,SAIA,SAIA INC,SAIA,SAIA
SALESFORCE.COM,SALESFORCE.COM,SALESFORCE.COM,SALESFORCE.COM INC,SALESFORCECOM,SALESFORCECOM
SALESFORCE.COM I,SALESFORCE.COM I,SALESFORCE.COM,SALESFORCE.COM INC,SALESFORCECOM I,SALESFORCECOM
SALESFORCECOM,SALESFORCECOM,SALESFORCE.COM,SALESFORCE.COM INC,SALESFORCECOM,SALESFORCECOM
SALIX PHARMA,SALIX PHARMA,SALIX PHARMACEUTICALS,SALIX PHARMACEUTICALS LTD,SALIX PHARMA,SALIX PHARMACEUTICALS
SALLY BEAUTY HOL,SALLY BEAUTY HOL,SALLY BEAUTY,SALLY BEAUTY HOLDINGS INC,SALLY BEAUTY HOL,SALLY BEAUTY HOLDINGS
SANDERSON FARMS,SANDERSON FARMS,SANDERSON FARMS,SANDERSON FARMS INC,SANDERSON FARMS,SANDERSON FARMS
SANDISK,SANDISK,SANDISK,SANDISK CORP,SANDISK,SANDISK
SANDISK CORP,SANDISK,SANDISK,SANDISK CORP,SANDISK,SANDISK
SANMINA CORP,SANMINA,SANMINA,SANMINA CORP,SANMINA,SANMINA
SAPIENT CORP,SAPIENT,SAPIENT,SAPIENT CORP,SAPIENT,SAPIENT
SBA COMM CORP,SBA COMM,SBA COMMUNICATIONS,SBA COMMUNICATIONS CORP,SBA COMM,SBA COMMUNICATIONS
SBA COMMNS,SBA COMMNS,SBA COMMUNICATIONS,SBA COMMUNICATIONS CORP,SBA COMMNS,SBA COMMUNICATIONS
SCANA,SCANA,SCANA,SCANA CORP,SCANA,SCANA
SCANA CP,SCANA CP,SCANA,SCANA CORP,SCANA,SCANA
SCANSOURCE INC,SCANSOURCE,SCANSOURCE,SCANSOURCE INC,SCANSOURCE,SCANSOURCE
SCHLUMBERGER,SCHLUMBERGER,SCHLUMBERGER,SCHLUMBERGER LTD,SCHLUMBERGER,SCHLUMBERGER
SCHLUMBERGER LTD,SCHLUMBERGER,SCHLUMBERGER,SCHLUMBERGER LTD,SCHLUMBERGER,SCHLUMBERGER
SCHLUMBERGER NV,SCHLUMBERGER NV,SCHLUMBERGER,SCHLUMBERGER LTD,SCHLUMBERGER,SCHLUMBERGER
SCHOLASTIC CORP,SCHOLASTIC,SCHOLASTIC,SCHOLASTIC CORP,SCHOLASTIC,SCHOLASTIC
SCHULMAN A INC,SCHULMAN A,SCHULMAN (A.),SCHULMAN (A.) INC,SCHULMAN A,SCHULMAN A
SCHWEITZER-MAUD,SCHWEITZER-MAUD,SCHWEITZER-MAUDUIT INTL,SCHWEITZER-MAUDUIT INTL INC,SCHWEITZERMAUD,SCHWEITZERMAUDUIT INTERNATIONAL
SCI US,SCI US,SERVICE INTERNATIONAL,SERVICE CORP INTERNATIONAL,SCI US,SERVICES CORP INTERNATIONAL
SCICLONE PHARMAC,SCICLONE PHARMAC,SCICLONE PHARMACEUTICALS,SCICLONE PHARMACEUTICALS INC,SCICLONE PHARMAC,SCICLONE PHARMACEUTICALS
SCIENCE APPLICAT,SCIENCE APPLICAT,SCIENCE APPLICATIONS INTL CP,SCIENCE APPLICATIONS INTL CP,SCIENCE APPLICAT,SCIENCE APPLICATIONS INTERNATIONAL
SCIENTIFIC GAME,SCIENTIFIC GAME,SCIENTIFIC GAMES,SCIENTIFIC GAMES CORP,SCIENTIFIC GAME,SCIENTIFIC GAMES
SCOTTS MIRACLE,SCOTTS MIRACLE,SCOTTS MIRACLE-GRO CO,SCOTTS MIRACLE-GRO CO,SCOTTS MIRACLE,SCOTTS MIRACLEGRO
SCRIPPS E.W. CO.,SCRIPPS E.W. CO.,EW SCRIPPS  -CL A,EW SCRIPPS  -CL A,SCRIPPS EW,EW SCRIPPS  CL A
SCRIPPS NET INT,SCRIPPS NET INT,SCRIPPS NETWORKS INTERACTIVE,SCRIPPS NETWORKS INTERACTIVE,SCRIPPS NET INT,SCRIPPS NETWORKS INTERACTIVE
SCRIPPS NETWORKS,SCRIPPS NETWORKS,SCRIPPS NETWORKS INTERACTIVE,SCRIPPS NETWORKS INTERACTIVE,SCRIPPS NETWORKS,SCRIPPS NETWORKS INTERACTIVE
SEACOAST BNK FLA,SEACOAST BNK FLA,SEACOAST BANKING/FL,SEACOAST BANKING CORP/FL,SEACOAST BNK FLA,SEACOAST BANK CORPFL
SEACOR,SEACOR,SEACOR,SEACOR HOLDINGS INC,SEACOR,SEACOR HOLDINGS
SEACOR HOLDINGS,SEACOR,SEACOR,SEACOR HOLDINGS INC,SEACOR HOLDINGS,SEACOR HOLDINGS
SEACOR HOLDGS IN,SEACOR HOLDGS IN,SEACOR,SEACOR HOLDINGS INC,SEACOR HOLDGS IN,SEACOR HOLDINGS
SEAGATE TECH,SEAGATE TECH,SEAGATE TECHNOLOGY,SEAGATE TECHNOLOGY PLC,SEAGATE TECHNOLOGY,SEAGATE TECHNOLOGY
SEALED AIR,SEALED AIR,SEALED AIR,SEALED AIR CORP,SEALED AIR,SEALED AIR
SEALED AIR CP,SEALED AIR CP,SEALED AIR,SEALED AIR CORP,SEALED AIR,SEALED AIR
SEARS,SEARS,SEARS,SEARS HOLDINGS CORP,SEARS,SEARS HOLDINGS
SEARS HOLDINGS,SEARS,SEARS,SEARS HOLDINGS CORP,SEARS HOLDINGS,SEARS HOLDINGS
SEI INVESTMENTS,SEI INVESTMENTS,SEI INVESTMENTS CO,SEI INVESTMENTS CO,SEI INVESTMENTS,SEI INVESTMENTS
SELECT MEDICAL,SELECT MEDICAL,SELECT MEDICAL,SELECT MEDICAL HOLDINGS CORP,SELECT MEDICAL,SELECT MEDICAL HOLDINGS
SELECTIVE INS.,SELECTIVE INS.,SELECTIVE INS GROUP,SELECTIVE INS GROUP INC,SELECTIVE INS,SELECTIVE INS GROUP
SEMPRA ENER,SEMPRA ENER,SEMPRA ENERGY,SEMPRA ENERGY,SEMPRA ENER,SEMPRA ENERGY
SEMPRA ENERGY,SEMPRA ENERGY,SEMPRA ENERGY,SEMPRA ENERGY,SEMPRA ENERGY,SEMPRA ENERGY
SEMPRA USA,SEMPRA USA,SEMPRA ENERGY,SEMPRA ENERGY,SEMPRA USA,SEMPRA ENERGY
SEMTECH CORP,SEMTECH,SEMTECH,SEMTECH CORP,SEMTECH,SEMTECH
SENSIENT TECH CO,SENSIENT TECH CO,SENSIENT TECHNOLOGIES,SENSIENT TECHNOLOGIES CORP,SENSIENT TECHNOLOGY,SENSIENT TECHNOLOGY
SERVICE CORP,SERVICE,SERVICE INTERNATIONAL,SERVICE CORP INTERNATIONAL,SERVICES,SERVICES CORP INTERNATIONAL
SERVICENOW,SERVICENOW,SERVICENOW,SERVICENOW INC,SERVICENOW,SERVICENOW
SERVICENOW INC,SERVICENOW,SERVICENOW,SERVICENOW INC,SERVICENOW,SERVICENOW
SERVISFIRST,SERVISFIRST,SERVISFIRST,SERVISFIRST BANCSHARES INC,SERVISFIRST,SERVISFIRST BANCSHARES
SHAKE SHACK,SHAKE SHACK,SHAKE SHACK,SHAKE SHACK INC,SHAKE SHACK,SHAKE SHACK
SHENANDOAH TELE,SHENANDOAH TELE,SHENANDOAH TELECOMMUN CO,SHENANDOAH TELECOMMUN CO,SHENANDOAH TELE,SHENANDOAH TELECOMMUN
SHERWIN-WMS,SHERWIN-WMS,SHERWIN-WILLIAMS CO,SHERWIN-WILLIAMS CO,SHERWINWMS,SHERWINWILLIAMS
SHERWINWILLIAMS,SHERWINWILLIAMS,SHERWIN-WILLIAMS CO,SHERWIN-WILLIAMS CO,SHERWINWILLIAMS,SHERWINWILLIAMS
SHOE CARNIVAL,SHOE CARNIVAL,SHOE CARNIVAL,SHOE CARNIVAL INC,SHOE CARNIVAL,SHOE CARNIVAL
SHUTTERFLY,SHUTTERFLY,SHUTTERFLY,SHUTTERFLY INC,SHUTTERFLY,SHUTTERFLY
SHUTTERSTOCK,SHUTTERSTOCK,SHUTTERSTOCK,SHUTTERSTOCK INC,SHUTTERSTOCK,SHUTTERSTOCK
SHUTTERSTOCK INC,SHUTTERSTOCK,SHUTTERSTOCK,SHUTTERSTOCK INC,SHUTTERSTOCK,SHUTTERSTOCK
SIGMA DESIGNS,SIGMA DESIGNS,SIGMA DESIGNS,SIGMA DESIGNS INC,SIGMA DESIGNS,SIGMA DESIGNS
SIGMA-ALDRICH,SIGMA-ALDRICH,SIGMA-ALDRICH,SIGMA-ALDRICH CORP,SIGMAALDRICH,SIGMAALDRICH
SIGN BANK,SIGN BANK,SIGNATURE BANK/NY,SIGNATURE BANK/NY,SIGN BANK,SIGNATURE BANKNY
SIGNET,SIGNET,SIGNET JEWELERS,SIGNET JEWELERS LTD,SIGNET,SIGNET JEWELERS
SIGNET JEWELERS,SIGNET JEWELERS,SIGNET JEWELERS,SIGNET JEWELERS LTD,SIGNET JEWELERS,SIGNET JEWELERS
SILGAN HLDGS INC,SILGAN HLDGS,SILGAN,SILGAN HOLDINGS INC,SILGAN HLDGS,SILGAN HOLDINGS
SILICON LAB,SILICON LAB,SILICON LABORATORIES,SILICON LABORATORIES INC,SILICON LAB,SILICON LABORATORIES
SILVERBOW RSRCS,SILVERBOW RSRCS,SILVERBOW RESOURCES,SILVERBOW RESOURCES INC,SILVERBOW RSRCS,SILVERBOW RESOURCES
SIMMONS 1ST NATL,SIMMONS 1ST NATL,SIMMONS FIRST NATL CP  -CL A,SIMMONS FIRST NATL CP  -CL A,SIMMONS FIRST NATL,SIMMONS FIRST NATL CP  CL A
SIMON PROP GRP,SIMON PROP GRP,SIMON PROPERTY GROUP,SIMON PROPERTY GROUP INC,SIMON PROP GROUP,SIMON PROPERTIES GROUP
SIMON PROPERTY,SIMON PROPERTY,SIMON PROPERTY GROUP,SIMON PROPERTY GROUP INC,SIMON PROPERTIES,SIMON PROPERTIES GROUP
SIMPSON MFG,SIMPSON MFG,SIMPSON MANUFACTURING,SIMPSON MANUFACTURING INC,SIMPSON MFG,SIMPSON MANUFACTURING
SIMULATIONS PLUS,SIMULATIONS PLUS,SIMULATIONS PLUS,SIMULATIONS PLUS INC,SIMULATIONS PLUS,SIMULATIONS PLUS
SIRIUS XM RADIO,SIRIUS XM RADIO,SIRIUS XM,SIRIUS XM HOLDINGS INC,SIRIUS XM RADIO,SIRIUS XM HOLDINGS
SIRONA DENTAL SY,SIRONA DENTAL SY,SIRONA DENTAL SYSTEMS,SIRONA DENTAL SYSTEMS INC,SIRONA DENTAL SY,SIRONA DENTAL SYSTEMS
SIX FLAGS ENTERT,SIX FLAGS ENTERT,SIX FLAGS ENTERTAINMENT,SIX FLAGS ENTERTAINMENT CORP,SIX FLAGS ENTERT,SIX FLAGS ENTERTAINMENT
SIX FLAGS ENTMT,SIX FLAGS ENTMT,SIX FLAGS ENTERTAINMENT,SIX FLAGS ENTERTAINMENT CORP,SIX FLAGS ENTMT,SIX FLAGS ENTERTAINMENT
SIZMEK,SIZMEK,SIZMEK,SIZMEK INC,SIZMEK,SIZMEK
SKECHERS USA INC,SKECHERS USA,SKECHERS U S A,SKECHERS U S A INC,SKECHERS USA,SKECHERS U S A
SKYWEST INC,SKYWEST,SKYWEST,SKYWEST INC,SKYWEST,SKYWEST
SKYWORKS SOLUT,SKYWORKS SOLUT,SKYWORKS SOLUTIONS,SKYWORKS SOLUTIONS INC,SKYWORKS SOLUT,SKYWORKS SOLUTIONS
SL,SL,SLM,SLM CORP,SL,SLM
SL GREEN REALTY,SL GREEN REALTY,SL GREEN REALTY,SL GREEN REALTY CORP,SL GREEN REALTY,SL GREEN REALTY
SLEEP NUMBER,SLEEP NUMBER,SLEEP NUMBER,SLEEP NUMBER CORP,SLEEP NUMBER,SLEEP NUMBER
SLM,SLM,SLM,SLM CORP,SLM,SLM
SLM CORP,SLM,SLM,SLM CORP,SLM,SLM
SM ENERGY CO,SM ENERGY CO,SM ENERGY CO,SM ENERGY CO,SM ENERGY,SM ENERGY
SMART GLO HLDG,SMART GLO HLDG,SMART GLOBAL,SMART GLOBAL HOLDINGS INC,SMART GLO HLDG,SMART GLOBAL HOLDINGS
SMITH MICRO SFTW,SMITH MICRO SFTW,SMITH MICRO SOFTWARE,SMITH MICRO SOFTWARE INC,SMITH MICRO SFTW,SMITH MICRO SOFTWARE
SMUCKER,SMUCKER,SMUCKER (JM) CO,SMUCKER (JM) CO,SMUCKER,SMUCKER JM
"SMUCKER, JM 'A'",SMUCKER  JM 'A',SMUCKER (JM) CO,SMUCKER (JM) CO,SMUCKER JM A,SMUCKER JM
SNAP-ON,SNAP-ON,SNAP-ON,SNAP-ON INC,SNAPON,SNAPON
SNAP-ON INC,SNAP-ON,SNAP-ON,SNAP-ON INC,SNAPON,SNAPON
SNYDERS-LANCE IN,SNYDERS-LANCE IN,SNYDERS-LANCE,SNYDERS-LANCE INC,SNYDERSLANCE IN,SNYDERSLANCE
SO JERSEY INDS,SO JERSEY INDS,SOUTH JERSEY INDUSTRIES,SOUTH JERSEY INDUSTRIES INC,SO JERSEY INDS,SOUTH JERSEY INDUSTRIES
SOLAREDGE TECH,SOLAREDGE TECH,SOLAREDGE TECHNOLOGIES,SOLAREDGE TECHNOLOGIES INC,SOLAREDGE TECHNOLOGY,SOLAREDGE TECHNOLOGY
SOLERA HLDGS,SOLERA HLDGS,SOLERA,SOLERA HOLDINGS INC,SOLERA HLDGS,SOLERA HOLDINGS
SONIC CORP,SONIC,SONIC,SONIC CORP,SONIC,SONIC
SONIC AUTOMOTIVE,SONIC AUTOMOTIVE,SONIC AUTOMOTIVE  -CL A,SONIC AUTOMOTIVE INC  -CL A,SONIC AUTOMOTIVE,SONIC AUTOMOTIVE INC  CL A
SONOCO PRODS,SONOCO PRODS,SONOCO PRODUCTS CO,SONOCO PRODUCTS CO,SONOCO PRODS,SONOCO PRODUCTS
SONOCO PRODUCTS,SONOCO PRODUCTS,SONOCO PRODUCTS CO,SONOCO PRODUCTS CO,SONOCO PRODUCTS,SONOCO PRODUCTS
SOTHEBY'S,SOTHEBY'S,SOTHEBY'S,SOTHEBY'S,SOTHEBYS,SOTHEBYS
SOUTHERN CO,SOUTHERN CO,SOUTHERN CO,SOUTHERN CO,SOUTHERN,SOUTHERN
SOUTHN CO,SOUTHN CO,SOUTHERN CO,SOUTHERN CO,SOUTHN,SOUTHERN
SOUTHSIDE,SOUTHSIDE,SOUTHSIDE,SOUTHSIDE BANCSHARES INC,SOUTHSIDE,SOUTHSIDE BANCSHARES
SOUTHSIDE BANC,SOUTHSIDE BANC,SOUTHSIDE,SOUTHSIDE BANCSHARES INC,SOUTHSIDE BANK,SOUTHSIDE BANCSHARES
SOUTHWEST,SOUTHWEST,SOUTHWEST AIRLINES,SOUTHWEST AIRLINES,SOUTHWEST,SOUTHWEST AIRLINES
SOUTHWEST AIRLIN,SOUTHWEST AIRLIN,SOUTHWEST AIRLINES,SOUTHWEST AIRLINES,SOUTHWEST AIRLIN,SOUTHWEST AIRLINES
SOUTHWEST AIRLS,SOUTHWEST AIRLS,SOUTHWEST AIRLINES,SOUTHWEST AIRLINES,SOUTHWEST AIRLS,SOUTHWEST AIRLINES
SOUTHWEST GAS,SOUTHWEST GAS,SOUTHWEST GAS,SOUTHWEST GAS HOLDINGS INC,SOUTHWEST GAS,SOUTHWEST GAS HOLDINGS
SOUTHWEST HOLDG,SOUTHWEST HOLDG,SOUTHWEST GAS,SOUTHWEST GAS HOLDINGS INC,SOUTHWEST HOLDG,SOUTHWEST GAS HOLDINGS
SOUTHWSTN ENERGY,SOUTHWSTN ENERGY,SOUTHWESTERN ENERGY CO,SOUTHWESTERN ENERGY CO,SOUTHWSTN ENERGY,SOUTHWESTERN ENERGY
SPARTANNASH,SPARTANNASH,SPARTANNASH CO,SPARTANNASH CO,SPARTANNASH,SPARTANNASH
SPECTRA ENERGY,SPECTRA ENERGY,SPECTRA ENERGY,SPECTRA ENERGY CORP,SPECTRA ENERGY,SPECTRA ENERGY
SPECTRUM BRANDS,SPECTRUM BRANDS,SPECTRUM BRANDS,SPECTRUM BRANDS HOLDINGS INC,SPECTRUM BRANDS,SPECTRUM BRANDS HOLDINGS
SPECTRUM HLDING,SPECTRUM HLDING,SPECTRUM BRANDS,SPECTRUM BRANDS HOLDINGS INC,SPECTRUM HLDING,SPECTRUM BRANDS HOLDINGS
